time_steps,avg_cost,max_avg_cost,min_avg_cost,qval_rmse
38800000.0,44.2302,97.37,9.84,
38900000.0,43.0784,67.91,12.26,
39000000.0,43.3649,72.12,17.76,
39100000.0,43.5664,64.26,20.95,
39200000.0,44.8586,73.77,27.61,
39300000.0,43.6044,64.03,27.42,
39400000.0,41.1212,64.63,22.43,
39500000.0,42.058,73.1,7.11,
39600000.0,42.0323,58.08,24.29,
39700000.0,42.3568,72.25,19.75,
39800000.0,40.2916,70.88,13.87,
39900000.0,41.3683,60.69,25.02,
40000000.0,42.7218,66.82,23.66,
40100000.0,40.4065,66.52,17.4,
40200000.0,41.0456,64.98,25.49,
40300000.0,42.7932,78.85,17.76,
40400000.0,39.7795,81.42,2.93,
40500000.0,41.8061,81.8,22.31,
40600000.0,41.7385,99.41,11.59,
40700000.0,44.6312,81.02,14.82,
40800000.0,44.9342,74.39,19.06,
40900000.0,43.3892,73.05,20.01,
41000000.0,43.6497,92.16,20.8,
41100000.0,40.161,63.58,17.33,
41200000.0,38.8754,63.38,19.4,
41300000.0,39.6784,63.71,20.4,
41400000.0,38.9207,67.32,20.0,
41500000.0,39.348,59.47,20.66,
41600000.0,39.3241,59.88,18.49,
41700000.0,40.3361,62.96,20.82,
41800000.0,38.2647,69.27,19.27,
41900000.0,42.6557,79.33,21.01,
42000000.0,41.2809,77.5,19.61,
42100000.0,39.2706,65.07,13.18,
42200000.0,39.1986,66.91,17.75,
42300000.0,39.5626,71.63,19.45,
42400000.0,38.1835,74.47,12.13,
42500000.0,39.1265,67.2,20.48,
42600000.0,42.4126,72.61,3.99,
42700000.0,41.3749,85.67,15.94,
42800000.0,39.8799,62.51,19.31,
42900000.0,38.9995,72.73,22.52,
43000000.0,41.1158,76.84,14.66,
43100000.0,38.2213,59.34,21.18,
43200000.0,41.5491,99.28,11.81,
43300000.0,41.6193,99.38,11.61,
43400000.0,39.5366,63.66,20.0,
43500000.0,41.0492,71.57,19.08,
43600000.0,42.0498,68.63,16.17,
